trial,trialtype,target,response
221,2,0.98,0.6878662270647544
222,3,0.98,0.7834770402366289
223,4,-0.98,0.6263198531075378
224,1,-0.98,0.4268753159396328
225,2,0.98,0.6306529013325536
226,3,0.98,0.8108813437658228
227,4,-0.98,0.6640993899908895
228,1,-0.98,0.46264268840079553
229,2,0.98,0.6885153833724584
230,3,0.98,0.6820681977841254
231,4,-0.98,0.6459614133693451
232,1,-0.98,0.3056821194497955
233,2,0.98,0.6421168673278117
234,3,0.98,0.8660350721510979
235,4,-0.98,0.8251143278749624
236,1,-0.98,0.6039975327151439
237,2,0.98,0.6616594961159707
238,3,0.98,0.7760133783001231
239,4,-0.98,0.6224225355888924
240,1,-0.98,0.5233071613183021
241,2,0.98,0.7247483691461839
242,3,0.98,0.6949781026443743
243,4,-0.98,0.48874907963545217
244,1,-0.98,-0.2944520947015521
245,2,0.98,0.704090126122489
246,3,0.98,0.6115280672887989
247,4,-0.98,0.778937946895752
248,1,-0.98,-0.08138176141109639
249,2,0.98,0.6578935086050637
250,3,0.98,0.7806081786800372
251,4,-0.98,0.6816527064477398
252,1,-0.98,-0.20076749119648335
253,2,0.98,0.5804186738731386
254,3,0.98,0.5773163170218274
255,4,-0.98,0.6731029561301479
256,1,-0.98,0.2936149972479109
257,2,0.98,0.7632920821042898
258,3,0.98,0.8330139560246033
259,4,-0.98,0.6744888017035376
260,1,-0.98,0.42344312735745254
261,2,0.98,0.5556081783798666
262,3,0.98,0.7289175986126901
263,4,-0.98,0.7548157281573458
264,1,-0.98,-0.13193791781863629
265,2,0.98,0.6770158816224942
266,3,0.98,0.722320981434989
267,4,-0.98,0.7269423878578933
268,1,-0.98,0.47394251554108896
269,2,0.98,0.5885345550486526
270,3,0.98,0.8221539460799565
271,4,-0.98,0.5568220908263525
272,1,-0.98,0.6389434441029257
273,2,0.98,0.6631982124083508
274,3,0.98,0.765830152955679
275,4,-0.98,0.6488121704663894
276,1,-0.98,0.009750297390985128
277,2,0.98,0.7863718587653715
278,3,0.98,0.8173215279176289
279,4,-0.98,0.4305666996746367
280,1,-0.98,-0.004500893330169418
281,2,0.98,0.6287707801537749
282,3,0.98,0.7532680176036284
283,4,-0.98,0.644975351374089
284,1,-0.98,0.1738198319294509
285,2,0.98,0.348680478061125
286,3,0.98,0.68533214819597
287,4,-0.98,0.49289623713359404
288,1,-0.98,0.0638269718690908
289,2,0.98,0.7040356320728325
290,3,0.98,0.7443163264627742
291,4,-0.98,0.6807951609015828
292,1,-0.98,-0.06377366273078142
293,2,0.98,0.6901354971345195
294,3,0.98,0.7146975511255773
295,4,-0.98,0.5920738842192328
296,1,-0.98,0.44440757151797144
297,2,0.98,0.5568993296882108
298,3,0.98,0.6728556572369827
299,4,-0.98,0.520479140790535
300,1,-0.98,-0.3413268692020056
301,2,0.98,0.7267723499948907
302,3,0.98,0.7597555139155998
303,4,-0.98,0.7011669339314186
304,1,-0.98,-0.19320972549491627
305,2,0.98,0.6443415459093363
306,3,0.98,0.6725472887365456
307,4,-0.98,0.3642787182687704
308,1,-0.98,-0.1002432416596158
309,2,0.98,0.5373381630703564
310,3,0.98,0.709736960033276
311,4,-0.98,0.6716174181287575
312,1,-0.98,-0.3614511877562509
